in,Lon,Lat,x,y,q,tc,te,tl
CT-1096.04,-118.4653641,34.26154941,-12.106,14.741,139,10.251,8,20
CT-1097,-118.4809004,34.2619391,-12.993,14.768,225,19.165,8,20
CT-1098,-118.4816096,34.25371631,-13.035,14.2,248,21.691,8,20
CT-1111,-118.4950817,34.26831469,-13.802,15.209,168,12.071,8,20
CT-1112.01,-118.5101612,34.27483833,-14.662,15.659,173,20.739,8,20
CT-1112.02,-118.5148394,34.26844793,-14.93,15.218,272,27.749,8,20
CT-1112.04,-118.5488954,34.26205365,-16.876,14.776,311,35.825,8,20
CT-1112.05,-118.5352802,34.25350895,-16.1,14.186,186,14.728,8,20
CT-1112.06,-118.5345104,34.26755266,-16.053,15.156,183,19.992,8,20
CT-1113.02,-118.5128548,34.25395587,-14.819,14.216,240,20.863,8,20
CT-1113.03,-118.5128581,34.2612126,-14.818,14.718,336,29.765,8,20
CT-1113.04,-118.5262388,34.26085161,-15.582,14.693,85,4.462,8,20
CT-1114.01,-118.4967036,34.25393414,-13.897,14.215,144,9.603,8,20
CT-1114.02,-118.4957533,34.26117748,-13.841,14.715,268,19.025,8,20
CT-1131.01,-118.5869039,34.26459288,-19.046,14.951,187,18.524,8,20
CT-1131.02,-118.5685956,34.26530182,-18,15,98,12.558,8,20
CT-1132.11,-118.6152723,34.26608213,-20.666,15.054,180,30.631,8,20
CT-1132.12,-118.6024386,34.26068789,-19.934,14.682,129,9.151,8,20
CT-1132.13,-118.6072051,34.25339627,-20.208,14.178,310,25.186,8,20
CT-1132.31,-118.6506717,34.22666194,-22.698,12.331,103,19.395,8,20
CT-1132.32,-118.6125572,34.22583091,-20.52,12.273,229,23.739,8,20
CT-1132.34,-118.5938841,34.22617768,-19.453,12.297,274,24.280,8,20
CT-1132.37,-118.612721,34.24418117,-20.525,13.541,282,41.266,8,20
CT-1132.38,-118.6016764,34.22389025,-19.899,12.139,170,10.744,8,20
CT-1132.39,-118.6005069,34.23199527,-19.83,12.699,88,4.779,8,20
CT-1133.01,-118.558316,34.24405103,-17.418,13.532,187,18.965,8,20
CT-1133.03,-118.5787615,34.24382999,-18.586,13.517,187,23.518,8,20
CT-1133.22,-118.5721487,34.25368292,-18.206,14.198,209,20.190,8,20
CT-1133.23,-118.5934549,34.25356009,-19.423,14.189,156,9.846,8,20
CT-1133.24,-118.5863849,34.25361789,-19.019,14.193,163,8.111,8,20
CT-1134.23,-118.5666934,34.22424734,-17.9,12.164,177,11.239,8,20
CT-1134.24,-118.5610786,34.22845047,-17.579,12.454,154,14.744,8,20
CT-1134.25,-118.5908394,34.23167951,-19.278,12.677,242,12.253,8,20
CT-1134.26,-118.5815325,34.23346061,-18.746,12.8,119,11.362,8,20
CT-1134.27,-118.5886537,34.22569966,-19.155,12.264,64,3.274,8,20
CT-1134.28,-118.5787343,34.22415083,-18.588,12.157,227,17.979,8,20
CT-1151.01,-118.5112427,34.23944433,-14.73,13.214,243,29.475,8,20
CT-1151.03,-118.5274623,34.24383316,-15.655,13.517,3083,305.344,8,20
CT-1151.04,-118.5226581,34.23749629,-15.382,13.079,152,15.789,8,20
CT-1152.02,-118.5377877,34.23384249,-16.247,12.827,202,17.913,8,20
CT-1152.03,-118.53241,34.24619955,-15.937,13.681,114,6.919,8,20
CT-1152.04,-118.5404432,34.24301214,-16.397,13.46,165,11.348,8,20
CT-1153.01,-118.5484881,34.24266876,-16.857,13.437,221,22.984,8,20
CT-1153.02,-118.5499624,34.22606797,-16.944,12.289,207,13.804,8,20
CT-1154.01,-118.5151392,34.22481256,-14.955,12.203,345,34.560,8,20
CT-1154.03,-118.5317421,34.22473913,-15.903,12.198,193,11.818,8,20
CT-1154.04,-118.5413345,34.22530574,-16.451,12.237,129,9.418,8,20
CT-1171.01,-118.4622012,34.23921237,-11.928,13.198,271,17.529,8,20
CT-1171.02,-118.4603335,34.24655277,-11.821,13.705,117,8.294,8,20
CT-1172.01,-118.4701079,34.24268592,-12.379,13.438,392,27.856,8,20
CT-1172.02,-118.4788862,34.24291389,-12.881,13.453,125,11.471,8,20
CT-1173.01,-118.4896633,34.24216369,-13.497,13.402,177,14.510,8,20
CT-1173.02,-118.4987544,34.23814864,-14.016,13.124,208,24.277,8,20
CT-1173.03,-118.4912936,34.22811468,-13.592,12.431,218,19.265,8,20
CT-1174.04,-118.4790892,34.22848379,-12.895,12.456,327,28.827,8,20
CT-1174.05,-118.4702433,34.23373597,-12.388,12.819,248,10.069,8,20
CT-1174.07,-118.4703239,34.23011075,-12.394,12.569,251,10.380,8,20
CT-1174.08,-118.4703832,34.22485126,-12.398,12.205,217,10.649,8,20
CT-1175.1,-118.4629856,34.23374547,-11.974,12.82,237,11.364,8,20
CT-1175.2,-118.4632779,34.23004511,-11.991,12.564,294,14.195,8,20
CT-1175.3,-118.4637023,34.22485866,-12.016,12.206,411,22.620,8,20
CT-1190.01,-118.4181038,34.23231562,-9.41,12.721,263,19.146,8,20
CT-1190.03,-118.4328423,34.25037254,-10.25,13.969,301,21.433,8,20
CT-1190.04,-118.4233538,34.24141363,-9.709,13.35,197,13.632,8,20
CT-1192.01,-118.4413583,34.24660581,-10.737,13.709,293,19.364,8,20
CT-1192.02,-118.4425667,34.25543317,-10.805,14.319,223,18.213,8,20
CT-1193.1,-118.4505171,34.24539522,-11.26,13.625,196,10.483,8,20
CT-1193.2,-118.4536219,34.23892206,-11.438,13.178,262,14.316,8,20
CT-1193.4,-118.4519131,34.23361391,-11.341,12.811,271,9.565,8,20
CT-1193.41,-118.4458878,34.23717146,-10.997,13.057,115,5.914,8,20
CT-1193.42,-118.4472794,34.24077346,-11.076,13.306,182,7.479,8,20
CT-1194,-118.4358601,34.24010243,-10.424,13.259,377,26.892,8,20
CT-1197,-118.4264628,34.22135837,-9.889,11.964,249,22.996,8,20
CT-1198.01,-118.43165,34.23536199,-10.184,12.932,131,10.095,8,20
CT-1198.02,-118.4286769,34.23227502,-10.014,12.718,156,10.757,8,20
CT-1199,-118.4412926,34.22784181,-10.735,12.412,267,19.155,8,20
CT-1200.1,-118.462635,34.21789433,-11.956,11.725,132,7.822,8,20
CT-1200.2,-118.4548267,34.21860143,-11.51,11.774,188,11.734,8,20
CT-1200.3,-118.4518806,34.21511263,-11.342,11.532,125,6.528,8,20
CT-1201.03,-118.4518109,34.22972491,-11.336,12.542,239,9.181,8,20
CT-1201.04,-118.4493789,34.22396783,-11.198,12.144,100,5.790,8,20
CT-1201.05,-118.4465446,34.23107543,-11.035,12.635,126,10.276,8,20
CT-1201.06,-118.4566765,34.22311368,-11.615,12.085,259,10.892,8,20
CT-1201.07,-118.4565629,34.22639792,-11.608,12.312,271,11.245,8,20
CT-1201.08,-118.4561604,34.23164803,-11.584,12.675,199,9.950,8,20
CT-1203,-118.4408523,34.21529632,-10.712,11.545,232,20.586,8,20
CT-1204,-118.432352,34.21888725,-10.226,11.793,250,20.667,8,20
CT-1210.1,-118.4036927,34.22335985,-8.588,12.102,215,21.623,8,20
CT-1210.2,-118.4020743,34.2121273,-8.496,11.326,168,11.329,8,20
CT-1211.01,-118.3654416,34.22442189,-6.402,12.176,127,6.908,8,20
CT-1211.02,-118.3814448,34.2423646,-7.315,13.416,90,15.558,8,20
CT-1212.1,-118.4046514,34.23942766,-8.641,13.213,133,12.213,8,20
CT-1212.21,-118.3955748,34.22762234,-8.124,12.397,137,7.937,8,20
CT-1212.22,-118.3919611,34.23215675,-7.917,12.71,242,20.953,8,20
CT-1216,-118.410603,34.21107316,-8.984,11.253,145,11.470,8,20
CT-1218.01,-118.3928893,34.21149196,-7.972,11.282,144,8.085,8,20
CT-1218.02,-118.3913758,34.21921911,-7.884,11.816,160,11.635,8,20
CT-1219,-118.3832126,34.21787163,-7.418,11.723,172,16.809,8,20
CT-1220,-118.4184413,34.21478353,-9.431,11.51,248,33.869,8,20
CT-1221.2,-118.3719216,34.21078049,-6.774,11.233,291,19.466,8,20
CT-1221.21,-118.3705678,34.21421907,-6.696,11.471,180,11.550,8,20
CT-1221.22,-118.3733897,34.21985837,-6.857,11.86,190,14.995,8,20
CT-1222,-118.3594615,34.21432188,-6.061,11.478,206,18.036,8,20
CT-1224.1,-118.3919862,34.20448809,-7.921,10.798,192,12.426,8,20
CT-1224.2,-118.3832964,34.20361487,-7.424,10.738,277,18.571,8,20
CT-1230.1,-118.3745839,34.20274857,-6.926,10.678,278,20.171,8,20
CT-1230.2,-118.3665068,34.20474172,-6.465,10.816,150,8.069,8,20
CT-1231.03,-118.3654629,34.19087594,-6.406,9.858,144,9.439,8,20
CT-1231.04,-118.365015,34.18289543,-6.381,9.306,225,14.448,8,20
CT-1232.03,-118.3911419,34.19624664,-7.873,10.229,167,12.153,8,20
CT-1232.04,-118.3943417,34.19394087,-8.056,10.07,151,7.439,8,20
CT-1232.05,-118.3835737,34.19456853,-7.441,10.113,152,9.916,8,20
CT-1232.06,-118.3748788,34.19371232,-6.944,10.054,94,5.622,8,20
CT-1233.01,-118.4001342,34.20031471,-8.387,10.51,207,19.726,8,20
CT-1233.03,-118.4116159,34.19728009,-9.043,10.3,113,7.989,8,20
CT-1233.04,-118.4061005,34.19654393,-8.728,10.249,179,13.244,8,20
CT-1234.1,-118.4216441,34.19797239,-9.616,10.348,161,8.747,8,20
CT-1234.2,-118.4166263,34.19358018,-9.33,10.045,211,15.094,8,20
CT-1235.1,-118.4275167,34.19511051,-9.952,10.15,217,14.144,8,20
CT-1235.2,-118.424707,34.18872324,-9.792,9.709,168,10.285,8,20
CT-1236.01,-118.4179933,34.17795171,-9.41,8.965,209,18.653,8,20
CT-1236.02,-118.4263378,34.1812249,-9.886,9.191,142,10.355,8,20
CT-1237,-118.4095291,34.1848645,-8.925,9.442,184,12.531,8,20
CT-1238,-118.4014481,34.17974409,-8.464,9.089,266,22.607,8,20
CT-1239.01,-118.39381,34.18545927,-8.027,9.484,221,17.419,8,20
CT-1239.02,-118.392241,34.1758832,-7.938,8.822,117,7.124,8,20
CT-1240,-118.4049485,34.16250716,-8.666,7.898,224,18.684,8,20
CT-1241.02,-118.383411,34.17578729,-7.433,8.815,156,9.033,8,20
CT-1241.03,-118.3834244,34.18849675,-7.433,9.693,105,5.016,8,20
CT-1241.04,-118.3834222,34.18486612,-7.433,9.443,136,6.844,8,20
CT-1241.05,-118.3834183,34.18123367,-7.433,9.192,95,4.586,8,20
CT-1242.01,-118.3746886,34.18487133,-6.934,9.443,164,11.969,8,20
CT-1242.03,-118.3746772,34.17760894,-6.934,8.941,95,4.927,8,20
CT-1242.04,-118.3746676,34.17397737,-6.934,8.69,72,3.754,8,20
CT-1243,-118.3643085,34.17574262,-6.341,8.812,101,6.990,8,20
CT-1244,-118.4095592,34.17397784,-8.928,8.69,205,14.390,8,20
CT-1245,-118.4267827,34.17227898,-9.913,8.573,114,8.074,8,20
CT-1246,-118.4269443,34.16207419,-9.923,7.868,100,7.940,8,20
CT-1247,-118.4165485,34.16185754,-9.329,7.853,210,18.042,8,20
CT-1249.02,-118.4008868,34.17024877,-8.433,8.433,116,5.906,8,20
CT-1249.03,-118.4008797,34.16661474,-8.433,8.181,134,6.665,8,20
CT-1251.01,-118.3921437,34.16851434,-7.933,8.313,121,7.072,8,20
CT-1251.02,-118.392131,34.16125271,-7.933,7.811,98,5.599,8,20
CT-1252,-118.383377,34.16490349,-7.432,8.063,153,12.273,8,20
CT-1253.1,-118.3660415,34.16952152,-6.441,8.382,125,12.585,8,20
CT-1253.21,-118.3650644,34.16670928,-6.385,8.188,123,5.407,8,20
CT-1253.22,-118.373779,34.16666192,-6.883,8.185,67,3.763,8,20
CT-1254.02,-118.3742311,34.15659112,-6.91,7.489,158,10.538,8,20
CT-1254.03,-118.3768771,34.16305285,-7.061,7.935,70,2.858,8,20
CT-1254.04,-118.3724386,34.16228758,-6.807,7.882,91,4.222,8,20
CT-1255.01,-118.3657977,34.16229852,-6.427,7.883,95,5.239,8,20
CT-1255.02,-118.3655567,34.15663319,-6.414,7.492,139,7.599,8,20
CT-1256,-118.3568759,34.1579004,-5.918,7.579,124,9.335,8,20
CT-1271.02,-118.4445374,34.20601212,-10.924,10.904,246,16.598,8,20
CT-1271.03,-118.4291864,34.20450225,-10.047,10.799,115,5.125,8,20
CT-1271.04,-118.4358107,34.20518078,-10.425,10.846,215,13.350,8,20
CT-1272.1,-118.4599203,34.20834625,-11.802,11.065,243,21.717,8,20
CT-1272.2,-118.4531386,34.20478707,-11.415,10.819,195,12.214,8,20
CT-1273,-118.4697779,34.20840392,-12.366,11.069,171,13.800,8,20
CT-1274,-118.4787071,34.21083243,-12.875,11.237,298,32.187,8,20
CT-1275.2,-118.4697633,34.21842119,-12.363,11.761,281,14.116,8,20
CT-1276.03,-118.4800359,34.19572894,-12.954,10.193,157,8.971,8,20
CT-1276.04,-118.4798113,34.1993211,-12.94,10.441,124,7.213,8,20
CT-1276.05,-118.4858434,34.19027475,-13.287,9.816,245,14.322,8,20
CT-1276.06,-118.4778177,34.1902678,-12.828,9.816,143,8.244,8,20
CT-1277.11,-118.4698429,34.18797123,-12.372,9.657,137,9.426,8,20
CT-1277.12,-118.4701074,34.19742306,-12.386,10.31,147,8.087,8,20
CT-1278.03,-118.4530921,34.19752017,-11.414,10.317,229,14.117,8,20
CT-1278.04,-118.4618351,34.19749735,-11.913,10.315,205,12.080,8,20
CT-1278.05,-118.4577011,34.19220106,-11.678,9.949,141,10.350,8,20
CT-1278.06,-118.457248,34.18857787,-11.652,9.699,137,10.021,8,20
CT-1279.1,-118.4443747,34.19756979,-10.915,10.32,263,15.729,8,20
CT-1279.2,-118.4356347,34.19757034,-10.416,10.32,190,12.057,8,20
CT-1281.01,-118.4356296,34.19030422,-10.417,9.818,166,9.932,8,20
CT-1281.02,-118.4443628,34.19030083,-10.916,9.818,232,14.536,8,20
CT-1282.1,-118.4443575,34.18358866,-10.916,9.354,267,14.992,8,20
CT-1282.2,-118.4355889,34.18355816,-10.415,9.352,120,6.226,8,20
CT-1283.02,-118.4605489,34.18386859,-11.842,9.374,259,16.519,8,20
CT-1283.03,-118.4523935,34.18308058,-11.376,9.319,209,11.183,8,20
CT-1284,-118.4588646,34.1765543,-11.746,8.868,187,18.653,8,20
CT-1285,-118.4443561,34.17030922,-10.918,8.437,155,11.495,8,20
CT-1286.01,-118.4410944,34.17846325,-10.73,9,241,16.842,8,20
CT-1286.02,-118.4356185,34.17121931,-10.418,8.5,126,10.035,8,20
CT-1287.03,-118.4442241,34.16021253,-10.912,7.739,102,6.970,8,20
CT-1287.04,-118.435611,34.16020493,-10.419,7.739,76,5.072,8,20
CT-1288.01,-118.4651695,34.16824263,-12.108,8.294,131,7.336,8,20
CT-1288.02,-118.4552719,34.16848364,-11.542,8.311,184,12.985,8,20
CT-1289.1,-118.458309,34.16165224,-11.717,7.839,194,17.131,8,20
CT-1310.21,-118.540431,34.21775634,-16.401,11.715,213,12.744,8,20
CT-1310.22,-118.5403029,34.2115783,-16.395,11.288,129,7.428,8,20
CT-1310.23,-118.5399995,34.20472618,-16.379,10.815,162,9.132,8,20
CT-1310.24,-118.5399126,34.19573927,-16.376,10.194,275,18.591,8,20
CT-1311,-118.5056353,34.21462937,-14.414,11.499,157,12.025,8,20
CT-1312,-118.5142433,34.21473118,-14.905,11.506,173,13.535,8,20
CT-1313,-118.5229756,34.21466493,-15.404,11.502,346,26.701,8,20
CT-1314,-118.5317079,34.21459665,-15.903,11.497,318,23.582,8,20
CT-1316,-118.553382,34.21426988,-17.142,11.474,261,24.694,8,20
CT-1317.01,-118.5579029,34.20466922,-17.402,10.811,234,13.820,8,20
CT-1317.02,-118.5487448,34.20470335,-16.879,10.813,186,11.751,8,20
CT-1318.01,-118.5316908,34.20471785,-15.904,10.814,154,9.248,8,20
CT-1318.02,-118.5229691,34.20471005,-15.406,10.814,145,8.508,8,20
CT-1319,-118.5098716,34.20472406,-14.657,10.815,232,19.212,8,20
CT-1320.01,-118.5142073,34.19207403,-14.907,9.941,165,11.108,8,20
CT-1320.02,-118.5072085,34.19490012,-14.507,10.136,243,24.041,8,20
CT-1321.01,-118.4956675,34.19026732,-13.848,9.816,201,13.644,8,20
CT-1321.02,-118.4973814,34.20210062,-13.944,10.633,221,20.317,8,20
CT-1323.01,-118.5273547,34.19926201,-15.657,10.437,180,12.616,8,20
CT-1323.02,-118.5273208,34.1956807,-15.656,10.19,165,11.949,8,20
CT-1325.01,-118.5487176,34.19743633,-16.879,10.311,207,13.332,8,20
CT-1325.02,-118.5484624,34.19081572,-16.865,9.854,130,7.641,8,20
CT-1327,-118.5261898,34.18996989,-15.593,9.795,239,19.315,8,20
CT-1329,-118.5278385,34.18348087,-15.688,9.347,176,14.782,8,20
CT-1330,-118.5577456,34.19534028,-17.395,10.166,213,15.116,8,20
CT-1331.01,-118.5490156,34.18407717,-16.898,9.388,93,5.781,8,20
CT-1331.02,-118.5402818,34.18504377,-16.399,9.455,173,11.649,8,20
CT-1340.01,-118.5906594,34.20177984,-19.275,10.611,193,12.683,8,20
CT-1340.02,-118.5856453,34.20167868,-18.988,10.604,194,13.839,8,20
CT-1341.01,-118.5666555,34.21430838,-17.9,11.477,343,25.103,8,20
CT-1341.03,-118.5799168,34.21626436,-18.658,11.612,245,20.608,8,20
CT-1341.04,-118.575397,34.21195827,-18.4,11.315,214,12.871,8,20
CT-1342.01,-118.5911924,34.21362464,-19.302,11.43,250,20.406,8,20
CT-1343.02,-118.6205249,34.21428029,-20.978,11.475,177,14.331,8,20
CT-1343.03,-118.6135137,34.20346125,-20.58,10.727,236,21.436,8,20
CT-1343.04,-118.610299,34.213938,-20.394,11.451,167,12.441,8,20
CT-1343.05,-118.6017074,34.21763886,-19.902,11.707,167,8.012,8,20
CT-1343.06,-118.6017144,34.21191957,-19.904,11.312,176,10.511,8,20
CT-1344.21,-118.6471522,34.20202794,-22.503,10.628,266,24.873,8,20
CT-1344.22,-118.6313714,34.20335723,-21.601,10.72,237,24.772,8,20
CT-1344.23,-118.6334461,34.21405711,-21.717,11.46,178,15.950,8,20
CT-1344.24,-118.6565732,34.21357407,-23.038,11.426,155,18.856,8,20
CT-1345.2,-118.5993425,34.19739654,-19.772,10.308,249,17.762,8,20
CT-1345.21,-118.5952221,34.20463321,-19.535,10.808,235,11.873,8,20
CT-1345.22,-118.6017306,34.20467921,-19.907,10.812,230,13.735,8,20
CT-1347.1,-118.5791591,34.20463554,-18.617,10.809,275,15.719,8,20
CT-1347.2,-118.5688243,34.20464971,-18.026,10.81,251,18.649,8,20
CT-1348.01,-118.5762457,34.19699213,-18.452,10.28,131,9.161,8,20
CT-1348.02,-118.5665964,34.19564322,-17.901,10.187,144,10.057,8,20
CT-1349.01,-118.5611185,34.18683939,-17.59,9.579,111,8.897,8,20
CT-1349.04,-118.5805469,34.1911306,-18.699,9.875,178,13.333,8,20
CT-1349.05,-118.5843077,34.18336348,-18.916,9.339,187,22.397,8,20
CT-1349.06,-118.5899455,34.1925081,-19.236,9.971,121,5.410,8,20
CT-1349.07,-118.5939177,34.19099631,-19.463,9.866,100,5.251,8,20
CT-1351.02,-118.6189687,34.188536,-20.896,9.696,191,18.518,8,20
CT-1351.11,-118.6103192,34.19230599,-20.401,9.957,181,14.406,8,20
CT-1351.13,-118.6059706,34.18101755,-20.155,9.177,146,10.345,8,20
CT-1351.15,-118.6101602,34.18468681,-20.393,9.43,109,5.266,8,20
CT-1351.16,-118.6016291,34.18829303,-19.905,9.679,30,2.288,8,20
CT-1352.01,-118.6274543,34.18832494,-21.381,9.682,172,15.154,8,20
CT-1352.02,-118.6369206,34.18882302,-21.922,9.716,234,20.805,8,20
CT-1352.04,-118.6495534,34.18909514,-22.644,9.735,260,23.574,8,20
CT-1352.05,-118.6623907,34.19380973,-23.376,10.061,111,13.106,8,20
CT-1370,-118.6370296,34.16720325,-21.934,8.222,252,29.240,8,20
CT-1371.03,-118.601352,34.17449027,-19.892,8.726,220,13.902,8,20
CT-1371.04,-118.5849603,34.17376834,-18.955,8.676,126,14.061,8,20
CT-1372.02,-118.6102691,34.17458276,-20.402,8.732,136,9.010,8,20
CT-1372.03,-118.6189425,34.17212982,-20.898,8.562,165,12.696,8,20
CT-1373.01,-118.6339993,34.17653735,-21.758,8.867,133,12.348,8,20
CT-1373.02,-118.6542081,34.17735284,-22.913,8.923,205,22.392,8,20
CT-1374.01,-118.6108512,34.15915073,-20.439,7.666,202,22.341,8,20
CT-1374.02,-118.6249648,34.15546965,-21.247,7.411,316,34.148,8,20
CT-1375.01,-118.5768155,34.16493921,-18.492,8.066,214,25.085,8,20
CT-1375.02,-118.597705,34.16345669,-19.686,7.963,189,17.113,8,20
CT-1375.04,-118.5720715,34.14804397,-18.224,6.898,77,11.567,8,20
CT-1380,-118.591062,34.14880579,-19.31,6.951,239,32.642,8,20
CT-1390.01,-118.5117303,34.17541617,-14.769,8.79,251,19.816,8,20
CT-1392,-118.5246569,34.17570099,-15.508,8.809,264,19.156,8,20
CT-1393.01,-118.558139,34.17815845,-17.421,8.979,232,29.011,8,20
CT-1393.02,-118.5383777,34.17672791,-16.292,8.88,220,11.035,8,20
CT-1393.03,-118.5333195,34.17628924,-16.003,8.85,177,9.135,8,20
CT-1394.01,-118.5375953,34.16970033,-16.248,8.395,85,6.223,8,20
CT-1394.02,-118.5517906,34.16776958,-17.06,8.261,174,19.333,8,20
CT-1395.02,-118.5263234,34.16284513,-15.605,7.921,122,9.396,8,20
CT-1395.04,-118.5202625,34.16702314,-15.258,8.21,149,7.545,8,20
